"RACEID","YEAR","ROUND","NAME","F1DATE","TIME","URL","SCORE","DNF_COUNT","DNF_DUE_TO_ACCIDENT_COUNT","WEATHER","WEATHER_WET","CIRCUITREF","YEAR_C","RACE_COUNT","NAME_YEAR","OVERTAKEN_POSITIONS_TOTAL","LAPS_WITH_CHANGE_POS_1","LAPS_WITH_CHANGE_POS_1_5","OVERTAKEN_POSITIONS_DUE_TO_PITSTOP_TOTAL","OVERTAKEN_POSITIONS_REAL_TOTAL","MAX_COMEBACKSCORE","RANK_VERSUS_POSITION","SAFETY_CAR",
895,2013,15,"Japanese Grand Prix",2013-10-13 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2013_Japanese_Grand_Prix",7.338,3,2,"Warm and sunny","N","suzuka","2013",1,"2013 Japanese Grand Prix",207,5,19,32,175,10,12,0,
896,2013,16,"Indian Grand Prix",2013-10-27 00:00:00,"9:30:00","http://en.wikipedia.org/wiki/2013_Indian_Grand_Prix",6.502,4,1,"Sunny, haze","N","buddh","2013",1,"2013 Indian Grand Prix",258,5,22,37,221,16,20,0,
897,2013,17,"Abu Dhabi Grand Prix",2013-11-03 00:00:00,"13:00:00","http://en.wikipedia.org/wiki/2013_Abu_Dhabi_Grand_Prix",5.017,1,1,"Clear","N","yas_marina","2013",1,"2013 Abu Dhabi Grand Prix",213,0,15,20,193,9,12,0,
898,2013,18,"United States Grand Prix",2013-11-17 00:00:00,"19:00:00","http://en.wikipedia.org/wiki/2013_United_States_Grand_Prix",5.396,1,1,"Partly cloudy, warmTemperatures reaching up to 89.10F (31.70C); wind speeds approaching speeds of 11.1 miles per hour (17.9+m/h)[2]","N","americas","2013",1,"2013 United States Grand Prix",100,2,7,4,96,15,10,1,
899,2013,19,"Brazilian Grand Prix",2013-11-24 00:00:00,"16:00:00","http://en.wikipedia.org/wiki/2013_Brazilian_Grand_Prix",7.144,3,1,"Cloudy, Air Temp: 18Ѓ","N","interlagos","2013",1,"2013 Brazilian Grand Prix",197,0,17,39,158,10,10,0,
900,2014,1,"Australian Grand Prix",2014-03-16 00:00:00,"6:00:00","https://en.wikipedia.org/wiki/2014_Australian_Grand_Prix",6.89,8,2,"Overcast, 190C(660F)","N","albert_park","2014",1,"2014 Australian Grand Prix",81,0,6,49,32,12,25,1,
901,2014,2,"Malaysian Grand Prix",2014-03-30 00:00:00,"8:00:00","https://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix",5.9,7,0,"Dry, 32Ѓ","N","sepang","2014",1,"2014 Malaysian Grand Prix",157,0,16,34,123,8,35,0,
902,2014,3,"Bahrain Grand Prix",2014-04-06 00:00:00,"15:00:00","http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix",9.1,6,2,"Dry","N","bahrain","2014",1,"2014 Bahrain Grand Prix",249,2,22,41,208,13,31,1,
903,2014,4,"Chinese Grand Prix",2014-04-20 00:00:00,"7:00:00","http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix",5.47,2,0,"Mostly cloudy, dry","N","shanghai","2014",1,"2014 Chinese Grand Prix",158,0,13,25,133,10,10,0,
904,2014,5,"Spanish Grand Prix",2014-05-11 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix",6.45,2,0,"Sunny","N","catalunya","2014",1,"2014 Spanish Grand Prix",229,4,13,28,201,17,8,0,
905,2014,6,"Monaco Grand Prix",2014-05-25 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix",7.04,8,3,"Overcast, Air: 20 to 210C (68 to 700F), Track: 28 to 300C (82 to 860F).","N","monaco","2014",1,"2014 Monaco Grand Prix",73,0,4,51,22,10,6,1,
906,2014,7,"Canadian Grand Prix",2014-06-08 00:00:00,"18:00:00","http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix",9.19,11,4,"Temperatures up to 27.60C (81.70F); wind speeds up to 16.4 kilometres per hour (10.2-ph)[5]","N","villeneuve","2014",1,"2014 Canadian Grand Prix",172,6,22,127,45,14,11,1,
907,2014,8,"Austrian Grand Prix",2014-06-22 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix",6.7,3,0,"Partially cloudy, hot and dry","N","red_bull_ring","2014",1,"2014 Austrian Grand Prix",220,7,16,33,187,12,13,0,
908,2014,9,"British Grand Prix",2014-07-06 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2014_British_Grand_Prix",7.85,5,3,"Mostly cloudy with maximum temperatures reaching 21 degrees during the day.","N","silverstone","2014",1,"2014 British Grand Prix",100,3,14,10,90,10,10,1,
909,2014,10,"German Grand Prix",2014-07-20 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2014_German_Grand_Prix",7.86,4,1,"Cloudy with maximum temperatures reaching 26 degrees during the day.","N","hockenheimring","2014",1,"2014 German Grand Prix",226,0,19,45,181,15,7,1,
910,2014,11,"Hungarian Grand Prix",2014-07-27 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix",9.14,6,4,"Overcast. Wet track at start, then drying. Scattered thunderstorms during the day, temperatures reaching a maximum of 26 degrees.[1]","Y","hungaroring","2014",1,"2014 Hungarian Grand Prix",247,8,25,39,208,20,13,1,
911,2014,12,"Belgian Grand Prix",2014-08-24 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix",7.76,5,0,"Mostly cloudy","N","spa","2014",1,"2014 Belgian Grand Prix",207,4,23,61,146,13,14,0,
912,2014,13,"Italian Grand Prix",2014-09-07 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix",7.42,2,1,"Sunny; Air: 250C (770F), Track: 37 to 420C (99 to 1080F)","N","monza","2014",1,"2014 Italian Grand Prix",141,3,14,24,117,16,11,0,
913,2014,14,"Singapore Grand Prix",2014-09-21 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix",6.43,5,0,"Clear. Air: 28 to 300C (82 to 860F) Track: 33 to 370C (91 to 990F).","N","marina_bay","2014",1,"2014 Singapore Grand Prix",201,4,14,58,143,10,10,1,
916,2014,17,"United States Grand Prix",2014-11-02 00:00:00,"20:00:00","http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix",7.33,3,1,"Sunny,","N","americas","2014",1,"2014 United States Grand Prix",177,5,10,7,170,10,6,1,
917,2014,18,"Brazilian Grand Prix",2014-11-09 00:00:00,"16:00:00","http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix",7.22,1,0,"Sunny, Air: 23 to 240C (73 to 750F), Track: 46 to 500C (115 to 1220F)","N","interlagos","2014",1,"2014 Brazilian Grand Prix",368,7,28,62,306,13,10,0,
918,2014,19,"Abu Dhabi Grand Prix",2014-11-23 00:00:00,"13:00:00","http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix",6.49,3,0,"Clear skies; Air temp: 30 Ѓ (86 І) during the day, dropping to 24 Ѓ (75.2 І). Wind speed: 8 km/h (4.9 mph).[2] (Night race)","N","yas_marina","2014",1,"2014 Abu Dhabi Grand Prix",219,5,19,13,206,14,12,0,
926,2015,1,"Australian Grand Prix",2015-03-15 00:00:00,"5:00:00","http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix",4.75,7,1,"Partly cloudy17ֱ80C (63ֶ40F) air temperature32ֳ70C (90ֹ90F) track temperature6-/s (20&t/s) wind from the south[3]","N","albert_park","2015",1,"2015 Australian Grand Prix",46,2,7,33,13,6,0,1,
927,2015,2,"Malaysian Grand Prix",2015-03-29 00:00:00,"7:00:00","http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix",8.37,5,1,"Sunny32ֳ30C (90ֹ10F) air temperature53ֵ80C (127ֱ360F) track temperature2-/s (6.6&t/s) wind from the south[3]","N","sepang","2015",1,"2015 Malaysian Grand Prix",256,5,22,42,214,15,25,1,
928,2015,3,"Chinese Grand Prix",2015-04-12 00:00:00,"6:00:00","http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix",5.72,4,0,"Sunny210C (700F) air temperature460C (1150F) track temperature1.4-/s (4.6&t/s) wind from the northwest[1]","N","shanghai","2015",1,"2015 Chinese Grand Prix",128,4,9,21,107,10,4,1,
929,2015,4,"Bahrain Grand Prix",2015-04-19 00:00:00,"15:00:00","http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix",7.37,3,0,"Sunny, clear24ֲ60C (75ַ90F) air temperature28ֳ10C (82ָ80F) track temperature1.5-/s (4.9&t/s) wind from the north[1]","N","bahrain","2015",1,"2015 Bahrain Grand Prix",167,5,16,26,141,10,8,0,
930,2015,5,"Spanish Grand Prix",2015-05-10 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix",5.15,2,1,"Sunny250C (770F) air temperature440C (1110F) track temperature1.8-/s (5.9&t/s) wind from the northeast[3]","N","catalunya","2015",1,"2015 Spanish Grand Prix",159,4,14,29,130,8,5,0,
931,2015,6,"Monaco Grand Prix",2015-05-24 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix",5.63,3,1,"Partly cloudy18ֱ90C (64ֶ60F) air temperature31ֳ70C (88ֹ90F) track temperature1.5-/s (4.9&t/s) wind from the west[2]","N","monaco","2015",1,"2015 Monaco Grand Prix",42,1,7,26,16,8,17,1,
932,2015,7,"Canadian Grand Prix",2015-06-07 00:00:00,"18:00:00","http://en.wikipedia.org/wiki/2015_Canadian_Grand_Prix",5.54,3,0,"not found","N","villeneuve","2015",1,"2015 Canadian Grand Prix",101,2,8,58,43,15,4,0,
933,2015,8,"Austrian Grand Prix",2015-06-21 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2015_Austrian_Grand_Prix",5.6,6,2,"not found","N","red_bull_ring","2015",1,"2015 Austrian Grand Prix",76,3,7,12,64,8,6,1,
934,2015,9,"British Grand Prix",2015-07-05 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2015_British_Grand_Prix",7.95,7,4,"Cloudy, rain at times17ֲ00C (63ֶ80F) air temperature24ֳ20C (75ֹ00F) track temperature2.5-/s (8.2&t/s) wind from the east[2]","Y","silverstone","2015",1,"2015 British Grand Prix",84,6,12,4,80,7,2,1,
937,2015,11,"Belgian Grand Prix",2015-08-23 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix",6.39,6,0,"Cloudy230C (730F) air temperature33ֳ70C (91ֹ90F) track temperature3.5-/s (11&t/s) wind from the northwest[2]","N","spa","2015",1,"2015 Belgian Grand Prix",122,2,18,25,97,9,19,1,
938,2015,12,"Italian Grand Prix",2015-09-06 00:00:00,"12:00:00","http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix",5.64,2,0,"Partly cloudy22ֲ30C (72ַ30F) air temperature38ֳ90C (100ֱ020F) track temperature1.5-/s (4.9&t/s) wind from changing directions[2]","N","monza","2015",1,"2015 Italian Grand Prix",87,0,8,9,78,11,6,0,
939,2015,13,"Singapore Grand Prix",2015-09-20 00:00:00,"12:00:00","https://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix",6.55,6,1,"Dry28ֲ90C (82ָ40F) air temperature34ֳ60C (93ֹ70F) track temperature0.5-/s (1.6&t/s) wind from the west[2]","N","marina_bay","2015",1,"2015 Singapore Grand Prix",129,0,4,31,98,12,13,1,
940,2015,14,"Japanese Grand Prix",2015-09-27 00:00:00,"5:00:00","https://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix",5.21,1,0,"Partly cloudy270C (810F) air temperature52ֵ40C (126ֱ290F) track temperature4.5-/s (15&t/s) wind from the east[2]","N","suzuka","2015",1,"2015 Japanese Grand Prix",139,0,11,17,122,9,0,0,
941,2015,15,"Russian Grand Prix",2015-10-11 00:00:00,"11:00:00","https://en.wikipedia.org/wiki/2015_Russian_Grand_Prix",6.97,7,4,"Partly cloudy180C (640F) air temperature25ֲ70C (77ָ10F) track temperature1.5-/s (4.9&t/s) wind from the north[2]","N","sochi","2015",1,"2015 Russian Grand Prix",116,1,16,14,102,10,13,1,
